postal,address,block,street_name,max_floor_lvl,year_completed,building_age,town,total_dwelling_units,psm_2018,psm_2019,psm_2020,psm_2021,psm_2022,psm_2023,psm_2024,psm_2025,psm_2026,txn_5y,psm_growth_5y,nearest_station,stn_distance_m
271010,10 HOLLAND AVE,10,HOLLAND AVE,14,1973,53,QUEENSTOWN,101,6159.0,6284.0,6023.0,5682.0,6250.0,6591.0,6392.0,6920.0,7045.0,9.0,12.7,HOLLAND VILLAGE,475.0
150010,10 JLN RUMAH TINGGI,10,JLN RUMAH TINGGI,4,1986,40,BUKIT MERAH,28,,,,4932.5,,6045.0,5750.0,,,2.0,,QUEENSTOWN,759.0
162010,10 JLN KUKOH,10,JLN KUKOH,12,1970,56,CENTRAL AREA,92,,,3852.0,3925.0,4717.0,5811.0,5434.0,6038.0,6027.5,12.0,27.800000000000004,CHINATOWN,570.0
431010,10 JLN BATU,10,JLN BATU,12,1966,60,KALLANG/WHAMPOA,132,5764.0,5878.0,5573.0,5672.0,6042.0,6105.5,6558.0,6560.0,7305.0,18.0,20.9,MOUNTBATTEN,464.0
161010,10 JLN BT HO SWEE,10,JLN BT HO SWEE,10,1962,64,BUKIT MERAH,120,,5706.0,,6029.0,,7059.0,,7647.0,7614.0,6.0,,HAVELOCK,149.0
360010,10 JOO SENG RD,10,JOO SENG RD,20,1982,44,TOA PAYOH,76,4768.5,4370.0,4214.5,,5042.0,5529.0,5840.5,,6218.0,11.0,23.3,TAI SENG,895.0
310010,10 LOR 7 TOA PAYOH,10,LOR 7 TOA PAYOH,25,1997,29,TOA PAYOH,96,5782.0,6042.0,5192.0,5717.0,6983.0,6999.0,7163.0,6981.0,7692.0,8.0,10.2,TOA PAYOH,1201.0
730010,10 MARSILING DR,10,MARSILING DR,22,1975,51,WOODLANDS,84,2738.0,2619.0,2512.0,,3235.5,4131.0,,4345.0,4534.5,10.0,40.1,MARSILING,987.0
391010,10 PINE CL,10,PINE CL,13,1981,45,GEYLANG,120,,6234.0,5882.0,5588.0,6206.0,5915.0,6618.0,7573.5,7734.0,13.0,24.6,MOUNTBATTEN,331.0
180010,10 SELEGIE RD,10,SELEGIE RD,10,1963,63,CENTRAL AREA,48,5965.0,6544.0,5982.0,5661.0,5911.0,,6786.0,6429.0,,6.0,,ROCHOR,213.0
680010,10 TECK WHYE AVE,10,TECK WHYE AVE,12,1977,49,CHOA CHU KANG,153,3731.0,3433.0,,3888.0,4374.0,4791.0,4925.0,5485.0,5448.0,21.0,24.6,PHOENIX,376.0
90010,10 TELOK BLANGAH CRES,10,TELOK BLANGAH CRES,10,1974,52,BUKIT MERAH,66,4583.0,4153.0,4093.5,4167.0,4991.5,5271.5,5000.0,4972.0,,8.0,,TIONG BAHRU ,1244.0
590010,10 TOH YI DR,10,TOH YI DR,7,1988,38,BUKIT TIMAH,36,6164.0,7110.0,6644.0,6836.0,,,8288.0,,,3.0,,BEAUTY WORLD,504.0
331010,10A BENDEMEER RD,10A,BENDEMEER RD,40,2016,10,KALLANG/WHAMPOA,220,,,,,9654.0,9853.0,10452.0,11505.0,11828.0,72.0,22.5,JALAN BESAR,311.0
160010,10A BOON TIONG RD,10A,BOON TIONG RD,40,2014,12,BUKIT MERAH,228,,10892.5,10260.5,10726.0,10272.0,10995.5,12185.5,13871.0,13043.0,29.0,27.0,TIONG BAHRU ,289.0
461010,10B BEDOK STH AVE 2,10B,BEDOK STH AVE 2,20,1994,32,BEDOK,56,5248.0,5674.0,5372.0,,6294.0,,7905.0,7604.0,6897.0,10.0,9.6,BEDOK,694.0
332010,10B BENDEMEER RD,10B,BENDEMEER RD,40,2016,10,KALLANG/WHAMPOA,184,,,,,9505.0,9691.5,10753.0,11412.0,12167.5,47.0,28.000000000000004,JALAN BESAR,359.0
164010,10B BOON TIONG RD,10B,BOON TIONG RD,30,2014,12,BUKIT MERAH,160,,,10920.0,10747.0,10787.0,11371.0,11069.5,13665.0,13678.0,36.0,26.8,TIONG BAHRU ,241.0
312010,10B LOR 7 TOA PAYOH,10B,LOR 7 TOA PAYOH,25,1997,29,TOA PAYOH,96,5769.0,5577.0,5789.5,6167.0,6163.0,6750.0,6808.0,7217.0,,11.0,,TOA PAYOH,1315.0
333010,10C BENDEMEER RD,10C,BENDEMEER RD,40,2016,10,KALLANG/WHAMPOA,220,,,,,9559.0,9925.0,10548.0,9677.0,12043.0,65.0,26.0,JALAN BESAR,355.0
463010,10D BEDOK STH AVE 2,10D,BEDOK STH AVE 2,23,1994,32,BEDOK,84,5881.0,5605.5,5379.0,,,7496.0,7114.5,,8671.0,4.0,,BEDOK,729.0
464010,10E BEDOK STH AVE 2,10E,BEDOK STH AVE 2,21,1992,34,BEDOK,81,5734.0,5362.0,5068.0,5556.0,6312.0,,,6479.0,6678.0,7.0,5.800000000000001,BEDOK,809.0
465010,10F BEDOK STH AVE 2,10F,BEDOK STH AVE 2,24,1992,34,BEDOK,67,,6111.0,,5033.0,6375.5,,6806.0,8310.0,,4.0,,BEDOK,786.0
460100,100 BEDOK NTH AVE 4,100,BEDOK NTH AVE 4,14,1978,48,BEDOK,206,4239.0,4022.0,3851.0,4030.0,4569.5,5098.5,5448.0,5896.0,5970.0,29.0,30.599999999999998,BEDOK RESERVOIR,732.0
140100,100 C'WEALTH CRES,100,C'WEALTH CRES,10,1964,62,QUEENSTOWN,75,4779.0,4492.5,4881.0,,,4746.0,5322.0,,5966.0,8.0,,COMMONWEALTH,673.0
310100,100 LOR 1 TOA PAYOH,100,LOR 1 TOA PAYOH,16,1968,58,TOA PAYOH,192,4485.0,4044.0,3860.0,3971.0,4375.0,4963.0,5029.0,5360.5,5471.0,22.0,25.1,BRADDELL,222.0
320100,100 WHAMPOA DR,100,WHAMPOA DR,25,1973,53,KALLANG/WHAMPOA,96,4273.0,4451.0,4000.0,3681.0,4912.0,5412.0,5110.0,5165.0,5799.5,12.0,18.099999999999998,BOON KENG,829.0
320101,101 AH HOOD RD,101,AH HOOD RD,25,1981,45,KALLANG/WHAMPOA,96,5614.5,,5068.0,5424.0,5381.0,,7390.0,7017.0,,7.0,,TOA PAYOH,673.0
380101,101 ALJUNIED CRES,101,ALJUNIED CRES,12,1977,49,GEYLANG,152,4024.0,4239.0,4254.0,4291.0,5149.0,5224.0,5493.0,5694.0,6717.0,18.0,30.5,ALJUNIED,502.0
560101,101 ANG MO KIO AVE 3,101,ANG MO KIO AVE 3,12,1977,49,ANG MO KIO,88,4718.0,4667.0,4089.0,4274.0,4957.0,,,6120.5,6560.0,6.0,32.300000000000004,MAYFLOWER,363.0
470101,101 BEDOK RESERVOIR RD,101,BEDOK RESERVOIR RD,12,1985,41,BEDOK,110,3953.0,3595.0,3482.5,3760.0,4082.0,4545.0,4612.0,5285.0,,16.0,,KAKI BUKIT,744.0
460101,101 BEDOK NTH AVE 4,101,BEDOK NTH AVE 4,13,1977,49,BEDOK,168,4933.0,4700.0,,4667.0,,6622.0,6444.0,,7122.0,4.0,,BEDOK RESERVOIR,670.0
570101,101 BISHAN ST 12,101,BISHAN ST 12,25,1986,40,BISHAN,92,6252.0,6430.0,5554.0,6272.5,6446.0,6884.0,6694.0,7669.0,,8.0,,BRADDELL,523.0
650101,101 BT BATOK WEST AVE 6,101,BT BATOK WEST AVE 6,13,1984,42,BUKIT BATOK,96,3964.0,3774.5,3657.0,3300.0,4561.5,,5020.0,5374.5,5400.0,6.0,18.4,BUKIT BATOK,387.0
90101,101 BT PURMEI RD,101,BT PURMEI RD,11,1982,44,BUKIT MERAH,140,4986.0,5604.0,4967.0,5258.0,5509.0,4839.0,6049.5,6290.0,6517.0,12.0,18.3,HARBOURFRONT INTERCHANGE,818.0
