OBJECTID,GRND_LEVEL,RAIL_TYPE,NAME,latitude,longitude,NS,EW,CC,CE,DT,TE,NE,CG,BP,SE,SW,PE,PW
111,ABOVEGROUND,LRT,SEGAR,1.387756, 103.769660 ,,,,,,,,,BP11,,,,
112,ABOVEGROUND,LRT,JELEPANG,1.386697, 103.764501 ,,,,,,,,,BP12,,,,
113,ABOVEGROUND,LRT,BANGKIT,1.380015, 103.772661 ,,,,,,,,,BP09,,,,
114,ABOVEGROUND,LRT,FAJAR,1.384533, 103.770838 ,,,,,,,,,BP10,,,,
115,ABOVEGROUND,LRT,SENJA,1.382699, 103.762369 ,,,,,,,,,BP13,,,,
116,ABOVEGROUND,LRT,BUKIT PANJANG,1.377916, 103.763022 ,,,,,,,,,BP06,,,,
117,ABOVEGROUND,LRT,PETIR,1.377755, 103.766667 ,,,,,,,,,BP07,,,,
118,ABOVEGROUND,MRT,BEDOK,1.324011, 103.930173 ,,EW05,,,,,,,,,,,
119,UNDERGROUND,MRT,LENTOR,1.384975, 103.836297 ,,,,,,TE05,,,,,,,
122,UNDERGROUND,MRT,ORCHARD,1.303938, 103.832219 ,NS22,,,,,TE14,,,,,,,
124,UNDERGROUND,MRT,OUTRAM PARK,1.281401, 103.839124 ,,EW16,,,,TE17,NE03,,,,,,
125,UNDERGROUND,MRT,TANJONG PAGAR,1.276631, 103.846013 ,,EW15,,,,,,,,,,,
126,UNDERGROUND,MRT,RAFFLES PLACE INTERCHANGE,1.284067, 103.851459 ,NS26,EW14,,,,,,,,,,,
128,UNDERGROUND,MRT,SPRINGLEAF,1.398141, 103.817921 ,,,,,,TE04,,,,,,,
129,UNDERGROUND,MRT,STEVENS INTERCHANGE,1.319735, 103.825648 ,,,,,DT10,TE11,,,,,,,
130,ABOVEGROUND,MRT,ALJUNIED,1.316433, 103.882905 ,,EW09,,,,,,,,,,,
132,ABOVEGROUND,MRT,EXPO INTERCHANGE,1.334546, 103.961546 ,,,,,DT35,,,CG01,,,,,
133,ABOVEGROUND,MRT,REDHILL,1.289629, 103.816769 ,,EW18,,,,,,,,,,,
134,UNDERGROUND,MRT,TAN KAH KEE,1.325872, 103.807331 ,,,,,DT08,,,,,,,,
135,UNDERGROUND,MRT,SHENTON WAY,1.277593, 103.850673 ,,,,,,TE19,,,,,,,
138,UNDERGROUND,MRT,HAVELOCK,1.288442, 103.833590 ,,,,,,TE16,,,,,,,
141,UNDERGROUND,MRT,UPPER THOMSON,1.354429, 103.832860 ,,,,,,TE08,,,,,,,
142,ABOVEGROUND,MRT,PAYA LEBAR INTERCHANGE,1.318117, 103.893069 ,,EW08,CC09,,,,,,,,,,
144,UNDERGROUND,MRT,GREAT WORLD,1.294468, 103.833426 ,,,,,,TE15,,,,,,,
145,UNDERGROUND,MRT,DHOBY GHAUT INTERCHANGE,1.299703, 103.845486 ,NS24,,CC01,,,,NE06,,,,,,
148,UNDERGROUND,MRT,BRAS BASAH,1.29683, 103.850659 ,,,CC02,,,,,,,,,,
149,UNDERGROUND,MRT,LITTLE INDIA INTERCHANGE,1.307201, 103.849865 ,,,,,DT12,,NE07,,,,,,
152,UNDERGROUND,MRT,ROCHOR,1.303928, 103.852440 ,,,,,DT13,,,,,,,,
153,UNDERGROUND,MRT,TELOK AYER,1.28228, 103.848323 ,,,,,DT18,,,,,,,,
154,UNDERGROUND,MRT,CHINATOWN,1.284355, 103.843477 ,,,,,DT19,,NE04,,,,,,
156,UNDERGROUND,MRT,TAMPINES WEST,1.345514, 103.938434 ,,,,,DT31,,,,,,,,
157,UNDERGROUND,MRT,BUKIT PANJANG,1.379054, 103.761683 ,,,,,DT01,,,,,,,,
159,UNDERGROUND,MRT,TAMPINES EAST,1.356212, 103.954858 ,,,,,DT33,,,,,,,,
160,UNDERGROUND,MRT,MARINA SOUTH PIER ,1.271377, 103.862911 ,NS28,,,,,,,,,,,,
161,UNDERGROUND,MRT,WOODLEIGH,1.339207, 103.870809 ,,,,,,,NE11,,,,,,
162,UNDERGROUND,MRT,CHANGI AIRPORT,1.357308, 103.988371 ,,,,,,,,CG02,,,,,
164,UNDERGROUND,MRT,KATONG PARK,1.297801, 103.886236 ,,,,,,TE24,,,,,,,
165,UNDERGROUND,MRT,TANJONG KATONG,1.299371, 103.897449 ,,,,,,TE25,,,,,,,
166,UNDERGROUND,MRT,MARINE PARADE,1.302866, 103.905508 ,,,,,,TE26,,,,,,,
167,UNDERGROUND,MRT,SIGLAP,1.309881, 103.929917 ,,,,,,TE28,,,,,,,
171,UNDERGROUND,MRT,MARINE TERRACE,1.306767, 103.915266 ,,,,,,TE27,,,,,,,
172,UNDERGROUND,MRT,TANJONG RHU,1.297245, 103.873455 ,,,,,,TE23,,,,,,,
173,UNDERGROUND,MRT,UPPER CHANGI,1.34174, 103.961473 ,,,,,DT34,,,,,,,,
192,ABOVEGROUND,MRT,JURONG EAST INTERCHANGE,1.332966, 103.741910 ,NS01,EW24,,,,,,,,,,,
196,UNDERGROUND,MRT,DAKOTA,1.308375, 103.888668 ,,,CC08,,,,,,,,,,
197,ABOVEGROUND,LRT,SUMANG,1.408353, 103.898510 ,,,,,,,,,,,,,PW06
198,ABOVEGROUND,LRT,NIBONG,1.411756, 103.900299 ,,,,,,,,,,,,,PW05
199,ABOVEGROUND,MRT,CANBERRA,1.443235, 103.829540 ,NS12,,,,,,,,,,,,
200,UNDERGROUND,MRT,PUNGGOL COAST,1.414941, 103.910217 ,,,,,,,NE18,,,,,,
202,UNDERGROUND,MRT,BEDOK RESERVOIR,1.336599, 103.932288 ,,,,,DT30,,,,,,,,
203,UNDERGROUND,MRT,BEDOK NORTH,1.334756, 103.917877 ,,,,,DT29,,,,,,,,
204,UNDERGROUND,MRT,KAKI BUKIT,1.334963, 103.908455 ,,,,,DT28,,,,,,,,
205,UNDERGROUND,MRT,TIONG BAHRU ,1.28622, 103.827034 ,,EW17,,,,,,,,,,,
206,UNDERGROUND,MRT,BEAUTY WORLD,1.341227, 103.775792 ,,,,,DT05,,,,,,,,
207,UNDERGROUND,MRT,KING ALBERT PARK,1.335665, 103.783792 ,,,,,DT06,,,,,,,,
208,UNDERGROUND,MRT,UBI,1.329955, 103.899249 ,,,,,DT27,,,,,,,,
209,UNDERGROUND,MRT,MACPHERSON INTERCHANGE,1.326091, 103.889372 ,,,CC10,,DT26,,,,,,,,
211,UNDERGROUND,MRT,MATTAR ,1.326866, 103.883253 ,,,,,DT25,,,,,,,,
212,UNDERGROUND,MRT,TELOK BLANGAH,1.270582, 103.809740 ,,,CC28,,,,,,,,,,
213,UNDERGROUND,MRT,BOON KENG,1.319447, 103.861681 ,,,,,,,NE09,,,,,,
214,ABOVEGROUND,MRT,BUONA VISTA INTERCHANGE,1.307258, 103.789942 ,,EW21,CC22,,,,,,,,,,
216,UNDERGROUND,MRT,LAVENDER,1.307372, 103.862838 ,,EW11,,,,,,,,,,,
217,ABOVEGROUND,MRT,KHATIB,1.417575, 103.833038 ,NS14,,,,,,,,,,,,
218,UNDERGROUND,MRT,CALDECOTT INTERCHANGE,1.337385, 103.840160 ,,,CC17,,,TE09,,,,,,,
220,UNDERGROUND,MRT,WOODLANDS NORTH STATION,1.448283, 103.785685 ,,,,,,TE01,,,,,,,
226,UNDERGROUND,MRT,PASIR RIS INTERCHANGE,1.371259, 103.948883 ,,EW01,,,,,,,,,,,
231,UNDERGROUND,MRT,BRIGHT HILL INTERCHANGE,1.363309, 103.834938 ,,,,,,TE07,,,,,,,
232,UNDERGROUND,MRT,HOUGANG INTERCHANGE,1.370976, 103.891147 ,,,,,,,NE14,,,,,,
234,UNDERGROUND,MRT,BISHAN INTERCHANGE,1.351259, 103.849221 ,NS17,,CC15,,,,,,,,,,
236,UNDERGROUND,MRT,BAYSHORE,1.312936, 103.941842 ,,,,,,TE29,,,,,,,
239,UNDERGROUND,MRT,GARDENS BY THE BAY,1.279252, 103.867991 ,,,,,,TE22,,,,,,,
240,UNDERGROUND,MRT,WOODLANDS SOUTH,1.427115, 103.793898 ,,,,,,TE03,,,,,,,
241,ABOVEGROUND,MRT,YIO CHU KANG,1.381753, 103.844807 ,NS15,,,,,,,,,,,,
242,UNDERGROUND,MRT,NAPIER,1.306666, 103.819083 ,,,,,,TE12,,,,,,,
243,ABOVEGROUND,MRT,QUEENSTOWN,1.294611, 103.806045 ,,EW19,,,,,,,,,,,
245,UNDERGROUND,MRT,HAW PAR VILLA,1.282503, 103.781821 ,,,CC25,,,,,,,,,,
248,UNDERGROUND,MRT,PASIR PANJANG,1.27623, 103.791342 ,,,CC26,,,,,,,,,,
249,ABOVEGROUND,MRT,EUNOS,1.319761, 103.903256 ,,EW07,,,,,,,,,,,
251,UNDERGROUND,MRT,BOTANIC GARDENS INTERCHANGE,1.322402, 103.816248 ,,,CC19,,DT09,,,,,,,,
254,UNDERGROUND,MRT,HUME,1.354511, 103.769104 ,,,,,DT04,,,,,,,,
255,UNDERGROUND,MRT,MAYFLOWER,1.372108, 103.836782 ,,,,,,TE06,,,,,,,
256,ABOVEGROUND,MRT,DOVER,1.311395, 103.778649 ,,EW22,,,,,,,,,,,
