latitude,longitude,postal,address,block,street_name,max_floor_lvl,year_completed,town,total_dwelling_units,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,smallunit_sold
1.36042894626787,103.8447773181,570239,239 BISHAN ST 22,239,BISHAN ST 22,25,1990,BISHAN,96,0,84,12,0,0,0
1.38014939686036,103.771126294353,670239,239 BT PANJANG RING RD,239,BT PANJANG RING RD,13,1988,BUKIT PANJANG,76,0,0,0,76,0,0
1.3502391390638,103.755100850762,650239,239 BT BATOK EAST AVE 5,239,BT BATOK EAST AVE 5,13,1984,BUKIT BATOK,171,105,63,2,0,0,0
1.37944877151316,103.747548438263,680239,239 CHOA CHU KANG CTRL,239,CHOA CHU KANG CTRL,4,1989,CHOA CHU KANG,24,0,21,3,0,0,0
1.39133011799591,103.898160186775,540239,239 COMPASSVALE WALK,239,COMPASSVALE WALK,15,1998,SENGKANG,98,0,42,56,0,0,0
1.35597309080357,103.890478116124,530239,239 HOUGANG ST 22,239,HOUGANG ST 22,13,1984,HOUGANG,133,0,121,12,0,0,0
1.34096483548865,103.74091413759,600239,239 JURONG EAST ST 21,239,JURONG EAST ST 21,25,1982,JURONG EAST,96,0,0,96,0,0,0
1.34050894159915,103.851040712112,310239,239 LOR 1 TOA PAYOH,239,LOR 1 TOA PAYOH,22,1986,TOA PAYOH,126,0,42,84,0,0,0
1.37319323483764,103.963384554912,510239,239 PASIR RIS ST 21,239,PASIR RIS ST 21,13,1992,PASIR RIS,60,0,0,0,60,0,0
1.35319103281952,103.868691793358,550239,239 SERANGOON AVE 2,239,SERANGOON AVE 2,12,1984,SERANGOON,88,0,88,0,0,0,0
1.35477157041693,103.946584056018,520239,239 TAMPINES ST 21,239,TAMPINES ST 21,4,1984,TAMPINES,32,16,16,0,0,0,0
1.43359514649201,103.839685373602,760239,239 YISHUN RING RD,239,YISHUN RING RD,4,1984,YISHUN,27,22,5,0,0,0,0
1.34176080636017,103.710767644398,641239,239A BOON LAY DR,239A,BOON LAY DR,17,2023,JURONG WEST,137,0,62,0,0,0,75
1.34215807042064,103.71066953397,642239,239B BOON LAY DR,239B,BOON LAY DR,15,2023,JURONG WEST,96,0,26,70,0,0,0
1.33018852048052,103.887508672167,370024,24 BALAM RD,24,BALAM RD,10,1965,GEYLANG,120,120,0,0,0,0,0
1.31862347782977,103.862324355167,330024,24 BENDEMEER RD,24,BENDEMEER RD,12,1970,KALLANG/WHAMPOA,124,122,0,2,0,0,0
1.28852535171166,103.828458597142,160024,24 BEO CRES,24,BEO CRES,10,1963,BUKIT MERAH,119,88,1,0,0,0,30
1.32377995139071,103.902330351336,400024,24 EUNOS CRES,24,EUNOS CRES,12,1976,GEYLANG,150,146,0,4,0,0,0
1.36551226123746,103.892085472745,530024,24 HOUGANG AVE 3,24,HOUGANG AVE 3,14,1977,HOUGANG,207,180,26,0,1,0,0
1.44150533051525,103.77213161946,730024,24 MARSILING DR,24,MARSILING DR,13,1976,WOODLANDS,191,166,24,0,1,0,0
1.32386400383727,103.933398625079,461024,24 NEW UPP CHANGI RD,24,NEW UPP CHANGI RD,14,1978,BEDOK,156,130,26,0,0,0,0
1.35518696986305,103.836337992513,570024,24 SIN MING RD,24,SIN MING RD,12,1973,BISHAN,144,144,0,0,0,0,0
1.32349635256112,103.737884227151,600024,24 TEBAN GDNS RD,24,TEBAN GDNS RD,12,1980,JURONG EAST,110,0,110,0,0,0,0
1.27540949062767,103.820660541826,90024,24 TELOK BLANGAH CRES,24,TELOK BLANGAH CRES,14,1974,BUKIT MERAH,130,0,130,0,0,0,0
1.28572654548652,103.831270493129,164024,24 TIONG BAHRU RD,24,TIONG BAHRU RD,4,1949,BUKIT MERAH,16,16,0,0,0,0,0
